Kamloops 1694.38 2135.25 1294.69 1970.19 1437.06 1677.55 728.63 1821.97 1667.58 1665.78 2304.96 1800.81 2121.21 2923.94 1561.88 1699.39 1686.14 1969.0 1032.6 2138.87 1613.17 1809.22 1433.72 802.01 1820.18 1677.54 1669.97 1664.46 1758.53 1798.49 1585.25 1724.05 1784.62 1826.13 2128.17 1660.61 676.36 2353.27 1113.35 290.96 801.46 0.0 1803.79 1556.88 751.47 786.18 982.88 853.63 1218.39 2622.65 1653.32 540.46
Chilliwack 1294.93 1248.95 2131.29 1187.87 1994.19 1303.14 1141.45 2794.86 1293.08 1339.26 1220.14 2782.61 1232.99 1784.02 1358.46 1279.62 1279.65 1181.38 1614.13 1247.79 1313.56 2785.7 1430.86 1563.08 2802.0 1319.31 1331.19 1215.79 2755.35 2773.93 2532.88 1283.85 2774.82 2855.02 1226.71 1310.49 1310.49 1283.62 1762.84 1640.36 2017.46 1803.79 0.0 282.66 1180.17 2460.14 922.61 1083.23 2343.1 1293.57 2299.4 1561.61
Sarnia 1331.04 1388.71 1854.47 1298.14 1727.14 1334.8 870.92 2521.03 1323.36 1365.27 1400.87 2508.3 1371.79 1999.23 1360.52 1318.19 1315.24 1292.16 1334.86 1388.51 1330.13 2511.64 1401.37 1280.42 2527.86 1349.58 1358.8 1251.76 2480.18 2499.8 2257.37 1327.58 2500.09 2579.47 1367.9 1337.78 1032.69 1465.2 1485.16 1375.72 1735.32 1556.88 282.66 0.0 994.48 2188.15 756.09 804.21 2061.39 1526.48 2034.78 1370.8
Drummondville 1000.49 1399.7 1725.63 1237.48 1754.82 987.17 577.87 2360.44 975.7 985.6 1558.56 2341.54 1384.81 2185.34 898.66 1001.58 989.49 1235.59 1271.54 1402.98 931.63 2348.35 813.05 1066.69 2362.07 991.1 987.28 955.71 2302.64 2336.55 2096.93 1025.03 2327.7 2386.79 1390.74 973.64 737.54 1608.95 1414.46 750.44 1347.43 751.47 1180.17 994.48 0.0 1527.93 262.86 695.91 1774.18 1871.21 2040.28 381.44
Belleville 2479.04 2920.48 1054.25 2755.74 1309.64 2461.87 1318.71 1303.71 2452.1 2448.83 3086.24 1281.84 2906.27 3708.86 2343.05 2484.45 2471.12 2754.46 1152.0 2924.04 2396.67 1291.58 2208.96 1022.88 1297.03 2461.38 2453.35 2450.39 1239.97 1283.81 1144.72 2509.17 1264.18 1274.16 2913.02 2444.58 1162.02 3135.85 1122.06 830.65 627.65 786.18 2460.14 2188.15 1527.93 0.0 1739.04 1390.9 796.27 3394.42 1380.97 1314.04
Brantford 908.86 1236.37 1802.95 1082.77 1791.06 900.39 601.48 2460.45 887.99 910.13 1370.14 2442.81 1220.28 2007.57 847.36 905.26 895.29 1079.73 1310.56 1238.99 858.64 2448.85 808.99 1135.38 2463.44 908.48 909.01 848.41 2406.02 2436.84 2192.05 925.87 2430.19 2495.41 1224.21 891.61 796.27 1425.15 1463.58 926.1 1482.34 982.88 922.61 756.09 262.86 1739.04 0.0 677.04 1895.07 1657.77 2090.6 641.69
Lethbridge 1583.81 1865.06 1157.86 1723.98 1118.24 1576.15 142.57 1828.72 1563.68 1586.93 1961.89 1812.76 1848.14 2600.67 1523.37 1579.35 1569.88 1720.02 644.59 1866.91 1535.62 1817.83 1472.8 509.79 1833.22 1584.7 1585.62 1520.44 1778.96 1805.75 1558.69 1599.15 1801.72 1873.47 1849.79 1567.96 229.42 2022.36 801.3 610.95 941.96 853.63 1083.23 804.21 695.91 1390.9 677.04 0.0 1304.66 2189.21 1422.09 926.21
Thorold 2773.23 3130.4 325.58 2977.83 604.7 2760.56 1315.95 604.45 2748.93 2759.76 3249.49 583.61 3114.1 3890.01 2671.21 2773.42 2761.7 2974.8 739.18 3132.87 2705.8 591.76 2571.31 795.21 603.34 2764.93 2761.37 2724.2 541.86 580.8 374.74 2796.36 567.85 616.95 3117.53 2747.47 1113.83 3307.82 610.77 1047.58 431.92 1218.39 2343.1 2061.39 1774.18 796.27 1895.07 1304.66 0.0 3492.57 591.97 1725.88
Welland 1105.75 611.1 3334.19 753.8 3238.73 1127.31 2182.05 4007.64 1129.7 1164.1 381.69 3992.92 615.19 510.02 1271.79 1090.48 1103.08 751.02 2809.67 605.99 1194.08 3997.32 1434.55 2698.84 4013.12 1138.74 1154.33 1083.17 3961.12 3985.28 3738.82 1069.8 3982.93 4057.6 602.42 1148.27 2382.63 373.56 2966.33 2582.74 3107.01 2622.65 1293.57 1526.48 1871.21 3394.42 1657.77 2189.21 3492.57 0.0 3548.83 2162.07
NorthBay 2999.2 3281.69 361.61 3144.38 310.55 2990.19 1490.54 552.77 2977.86 2997.74 3362.49 549.32 3264.6 3993.86 2925.04 2995.84 2985.78 3140.25 780.07 3283.28 2945.17 548.11 2852.73 973.88 563.9 2997.65 2997.29 2938.71 540.54 538.63 375.11 3016.46 549.42 635.49 3265.52 2980.58 1306.11 3424.78 628.28 1414.67 874.17 1653.32 2299.4 2034.78 2040.28 1380.97 2090.6 1422.09 591.97 3548.83 0.0 2093.52
MedicineHat 1170.4 1634.69 1749.34 1468.34 1837.72 1152.38 785.62 2329.41 1143.16 1137.06 1821.14 2308.9 1621.86 2421.38 1029.72 1177.08 1163.51 1467.95 1374.89 1638.69 1085.69 2316.8 895.59 1144.71 2328.83 1150.85 1142.05 1148.46 2267.5 2305.6 2080.29 1201.93 2293.42 2341.28 1630.1 1134.36 872.21 1864.22 1494.86 686.78 1295.99 540.46 1561.61 1370.8 381.44 1314.04 641.69 926.21 1725.88 2162.07 2093.52 0.0
